Barcode 	 Correct reads 	 Corrected reads
A03C12B02D55N501	0	1
A03C12B49D75N502	1	0
A03C12B52D92N501	1	0
A03C12B54D50N501	1	0
A03C12B55D54N501	1	0
A03C12B65D62N501	1	0
A03C12B72D37N501	1	0
A03C13B10D27P00	1	0
A03C13B27D20N501	1	0
A03C13B34D01N502	1	0
A03C13B74D28N502	0	1
A03C13B95D65N502	1	0
A03C14B55D37N501	1	0
A03C15B04D05N502	1	0
A03C16B24D96N502	1	0
A03C16B30D93N502	1	0
A03C17B40D94N502	1	0
A03C17B49D01N502	1	0
A03C18B30D91N501	1	0
A03C18B34D09N501	1	0
A03C19B11D43N502	1	0
A03C19B48D19N501	1	0
A03C19B56D80N502	1	0
A03C19B83D55N502	1	0
A03C19B90D72N501	1	0
A03C20B79D56N501	1	0
A03C20B94D75N502	1	0
A03C21B36D53N501	1	0
A03C21B63D42N502	0	1
A03C21B64D67N502	1	0
A03C21B90D64N502	1	0
A03C22B28D48N502	1	0
A03C22B34D49N501	1	0
A03C22B70D70N501	1	0
A03C23B06D69N502	1	0
A03C23B16D01N502	1	0
A03C25B32D01N502	1	0
A03C25B39D86N501	1	0
A03C25B49D69N502	1	0
A03C26B58D53N502	1	0
A03C27B10D70N502	1	0
A03C27B13D13N501	1	0
A03C27B24D33N501	1	0
A03C27B57D26N502	1	0
A03C27B64D69N502	1	0
A03C27B83D48N502	1	0
A03C28B35D73N501	1	0
A03C28B54D81N502	1	0
A03C28B81D55N502	1	0
A03C29B51D43N502	1	0
A03C29B57D91N501	1	0
A03C29B67D66N501	1	0
A03C30B28D25N502	1	0
A03C30B85D08N502	1	0
A03C31B04D51N502	1	0
A03C31B08D05N502	1	0
A03C31B12D55N502	1	0
A03C32B85D88N501	1	0
A03C32B88D52N501	1	0
A03C34B03D94N502	1	0
A03C34B31D31N501	1	0
A03C34B94D93N502	1	0
A03C35B37D07N502	1	0
A03C35B41D72N502	1	0
A03C35B96D16N502	1	0
A03C36B22D74N501	1	0
A03C36B28D72N501	1	0
A03C36B41D24N502	1	0
A03C36B42D37N501	1	0
A03C36B65D06N501	1	0
A03C37B23D16N502	1	0
A03C37B47D76N501	0	1
